0,1,2,3,4,5,6
1-8-1965,Chile,7-2,Colombia,"Santiago, Chile",,
,Sánchez 11' Méndez 15' 70' Fouilloux 25' 65' Campos 42' Prieto 58',,Segrera 40' 70',Árbitro: Pedraza,Árbitro: Pedraza,
,,,,,,
,,,,,,
7-8-1965,Colombia,2-0,Chile,"Barranquilla, Colombia",,
,Rada 67' (pen.) 87',,,Árbitro: Rica,Árbitro: Rica,
,,,,,,
,,,,,,
15-8-1965,Ecuador,2-2,Chile,"Guayaquil, Ecuador",,
,Spencer 15' Raimondi 84',,Campos 39' Prieto 57',Árbitro: Eunapio de Queiroz,Árbitro: Eunapio de Queiroz,
,,,,,,
,,,,,,
22-8-1965,Chile,3-1,Ecuador,"Santiago, Chile",,
,Sánchez 10' (pen.) Marcos 62' Fouilloux 74',,Spencer 36',Árbitro: Edgardo Codesal Méndez,Árbitro: Edgardo Codesal Méndez,
,,,,,,
,,,,,,
