0,1,2,3,4,5,6
6-8-1989,Venezuela,1-3,Chile,"Estadio Brígido Iriarte, Caracas",,
,Fernández 65',,Aravena 5' 33' Zamorano 71',Asistencia: 13 000 espectadores Árbitro: Montalván,Asistencia: 13 000 espectadores Árbitro: Montalván,
,,,,,,
,,,,,,
13-8-1989,Chile,1-1,Brasil,"Estadio Nacional, Santiago",,
,Basay 81',,González 56' (a.g.),Asistencia: 60 697 espectadores Árbitro: Díaz,Asistencia: 60 697 espectadores Árbitro: Díaz,
,,,,,,
,,,,,,
27-8-1989,Chile,5-0,Venezuela,"Estadio Malvinas Argentinas, Mendoza, Argentina",,
,Letellier 14' 34' 69' Yáñez 44' Vera Rodríguez 84',,,Asistencia: 19 000 espectadores Árbitro: Jácome,Asistencia: 19 000 espectadores Árbitro: Jácome,
,,,,,,
El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.,El partido se jugó en Argentina porque Chile fue castigado por los disturbios ocurridos durante el partido entre Chile vs. Brasil.
3-9-1989,Brasil,2-0 (acreditado),Chile,"Estádio do Maracanã, Río de Janeiro",,
,Careca 49',,,Asistencia: 141 072 espectadores Árbitro: Loustau,Asistencia: 141 072 espectadores Árbitro: Loustau,
,,,,,,
