0,1,2,3,4,5,6
3 de marzo de 1985,Ecuador,1-1 (1-1),Chile,"Estadio Atahualpa, Quito",,
,H. Maldonado 43',,31' J. C. Letelier,Asistencia: 50 000 espectadores Árbitro: José Roberto Wright,Asistencia: 50 000 espectadores Árbitro: José Roberto Wright,
,,,,,,
,,,,,,
17 de marzo de 1985,Chile,6-2 (4-2),Ecuador,"Estadio Nacional, Santiago",,
,"H. Puebla 21' C. Caszely 29', 40' A. Hisis 34' J. Aravena 51', 89'",,"23', 37' F. Baldeón",Asistencia: 75 000 espectadores Árbitro: Orazio Di Rosa Giunta,Asistencia: 75 000 espectadores Árbitro: Orazio Di Rosa Giunta,
,,,,,,
,,,,,,
24 de marzo de 1985,Chile,2-0 (1-0),Uruguay,"Estadio Nacional, Santiago",,
,H. Rubio 28' J. Aravena 53',,,Asistencia: 80 000 espectadores Árbitro: Jesús Diaz Palacio,Asistencia: 80 000 espectadores Árbitro: Jesús Diaz Palacio,
,,,,,,
El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».,El jugador chileno Jorge Aravena estrenó el remate «gol imposible».
7 de abril de 1985,Uruguay,2-1 (1-1),Chile,"Estadio Centenario, Montevideo",,
,J. Batista 9' V. Ramos 60' (pen.),,29' (pen.) J. Aravena,Asistencia: 75 000 espectadores Árbitro: Carlos Espósito,Asistencia: 75 000 espectadores Árbitro: Carlos Espósito,
,,,,,,
,,,,,,
17 de noviembre de 1985,Chile,2-2 (1-2) (Global 2-5),Paraguay,"Estadio Nacional, Santiago",,
,H. Rubio 13' J. Muñoz 80',,22' V. Schettina  39' J. C. Romero,Asistencia: 62 000 espectadores Árbitro: Juan Daniel Cardellino,Asistencia: 62 000 espectadores Árbitro: Juan Daniel Cardellino,
,,,,,,
,,,,,,
10 de noviembre de 1985,Paraguay,3-0 (1-0),Chile,"Estadio Defensores del Chaco, Asunción",,
,R. Cabañas 9' R. Delgado 46' L. Garrido 85' (a.g.),,,Asistencia: 60 000 espectadores Árbitro: Arnaldo Cézar Coelho,Asistencia: 60 000 espectadores Árbitro: Arnaldo Cézar Coelho,
,,,,,,
,,,,,,
3 de noviembre de 1985,Perú,0-1 (0-0) (Global 2-5),Chile,"Estadio Nacional, Lima",,
,,,64' J. Aravena,Asistencia: 42 244 espectadores Árbitro: Arnaldo Cézar Coelho,Asistencia: 42 244 espectadores Árbitro: Arnaldo Cézar Coelho,
,,,,,,
,,,,,,
27 de octubre de 1985,Chile,4-2 (3-1),Perú,"Estadio Nacional, Santiago",,
,"J. Aravena 6', 64' (pen.) H. Rubio 8' A. Hisis 15'",,"45', 76' F. Navarro",Asistencia: 40 340 espectadores Árbitro: José Luis Martínez Bazán,Asistencia: 40 340 espectadores Árbitro: José Luis Martínez Bazán,
,,,,,,
,,,,,,
