0,1,2,3,4,5,6
22-9-1957,Chile,2-1,Bolivia,"Santiago, Chile",,
,Díaz 62' Ramírez 68',,Alcón 36',Árbitro: Wyssling,Árbitro: Wyssling,
,,,,,,
,,,,,,
29-9-1957,Bolivia,3-0,Chile,"La Paz, Bolivia",,
,García 30' Alcócer 70' 86',,,Árbitro: Wyssling,Árbitro: Wyssling,
,,,,,,
,,,,,,
13-10-1957,Chile,0-2,Argentina,"Santiago, Chile",,
,,,Menéndez 40' Conde 61',Árbitro: Wyssling,Árbitro: Wyssling,
,,,,,,
,,,,,,
20-10-1957,Argentina,4-0,Chile,"Buenos Aires, Argentina",,
,Corbatta 1' 41' Menéndez 13' Zárate 45',,,Árbitro: Wyssling,Árbitro: Wyssling,
,,,,,,
,,,,,,
