Fecha,Ciudad,Unnamed: 2,Unnamed: 3,Resultado,Unnamed: 5,Unnamed: 6
6 de septiembre de 2003,Quito,Ecuador,,2:0 (1:0),,Venezuela
6 de septiembre de 2003,Buenos Aires,Argentina,,2:2 (2:0),,Chile
6 de septiembre de 2003,Lima,Perú,,4:1 (2:1),,Paraguay
7 de septiembre de 2003,Montevideo,Uruguay,,5:0 (2:0),,Bolivia
7 de septiembre de 2003,Barranquilla,Colombia,,1:2 (1:1),,Brasil
9 de septiembre de 2003,Caracas,Venezuela,,0:3 (0:3),,Argentina
9 de septiembre de 2003,Santiago,Chile,,2:1 (1:0),,Perú
10 de septiembre de 2003,La Paz,Bolivia,,4:0 (2:0),,Colombia
10 de septiembre de 2003,Asunción,Paraguay,,4:1 (1:1),,Uruguay
10 de septiembre de 2003,Manaus,Brasil,,1:0 (1:0),,Ecuador
15 de noviembre de 2003,Montevideo,Uruguay,,2:1 (1:1),,Chile
15 de noviembre de 2003,Barranquilla,Colombia,,0:1 (0:1),,Venezuela
15 de noviembre de 2003,Asunción,Paraguay,,2:1 (1:0),,Ecuador
15 de noviembre de 2003,Buenos Aires,Argentina,,3:0 (0:0),,Bolivia
16 de noviembre de 2003,Lima,Perú,,1:1 (0:1),,Brasil
18 de noviembre de 2003,Maracaibo,Venezuela,,2:1 (0:0),,Bolivia
18 de noviembre de 2003,Santiago,Chile,,0:1 (0:1),,Paraguay
19 de noviembre de 2003,Quito,Ecuador,,0:0,,Perú
19 de noviembre de 2003,Barranquilla,Colombia,,1:1 (0:1),,Argentina
19 de noviembre de 2003,Curitiba,Brasil,,3:3 (2:0),,Uruguay
30 de marzo de 2004,La Paz,Bolivia,,0:2 (0:1),,Chile
30 de marzo de 2004,Buenos Aires,Argentina,,1:0 (0:0),,Ecuador
31 de marzo de 2004,Montevideo,Uruguay,,0:3 (0:1),,Venezuela
31 de marzo de 2004,Asunción,Paraguay,,0:0,,Brasil
31 de marzo de 2004,Lima,Perú,,0:2 (0:2),,Colombia
1 de junio de 2004,La Paz,Bolivia,,2:1 (1:1),,Paraguay
1 de junio de 2004,San Cristóbal,Venezuela,,0:1 (0:0),,Chile
1 de junio de 2004,Montevideo,Uruguay,,1:3 (0:2),,Perú
2 de junio de 2004,Quito,Ecuador,,2:1 (1:0),,Colombia
2 de junio de 2004,Belo Horizonte,Brasil,,3:1 (1:0),,Argentina
5 de junio de 2004,Quito,Ecuador,,3:2 (3:0),,Bolivia
6 de junio de 2004,Buenos Aires,Argentina,,0:0,,Paraguay
6 de junio de 2004,Lima,Perú,,0:0,,Venezuela
6 de junio de 2004,Barranquilla,Colombia,,5:0 (3:0),,Uruguay
6 de junio de 2004,Santiago,Chile,,1:1 (0:1),,Brasil
4 de septiembre de 2004,Lima,Perú,,1:3 (0:1),,Argentina
5 de septiembre de 2004,Montevideo,Uruguay,,1:0 (0:0),,Ecuador
5 de septiembre de 2004,São Paulo,Brasil,,3:1 (3:0),,Bolivia
5 de septiembre de 2004,Asunción,Paraguay,,1:0 (0:0),,Venezuela
5 de septiembre de 2004,Santiago,Chile,,0:0,,Colombia
9 de octubre de 2004,Buenos Aires,Argentina,,4:2 (3:0),,Uruguay
9 de octubre de 2004,La Paz,Bolivia,,1:0 (0:0),,Perú
9 de octubre de 2004,Barranquilla,Colombia,,1:1 (1:0),,Paraguay
9 de octubre de 2004,Maracaibo,Venezuela,,2:5 (0:2),,Brasil
10 de octubre de 2004,Quito,Ecuador,,2:0 (0:0),,Chile
12 de octubre de 2004,La Paz,Bolivia,,0:0,,Uruguay
13 de octubre de 2004,Asunción,Paraguay,,1:1 (1:0),,Perú
13 de octubre de 2004,Santiago,Chile,,0:0,,Argentina
13 de octubre de 2004,Maceió,Brasil,,0:0,,Colombia
14 de octubre de 2004,San Cristóbal,Venezuela,,3:1 (1:1),,Ecuador
17 de noviembre de 2004,Buenos Aires,Argentina,,3:2 (2:1),,Venezuela
17 de noviembre de 2004,Barranquilla,Colombia,,1:0 (1:0),,Bolivia
17 de noviembre de 2004,Lima,Perú,,2:1 (0:0),,Chile
17 de noviembre de 2004,Montevideo,Uruguay,,1:0 (0:0),,Paraguay
17 de noviembre de 2004,Quito,Ecuador,,1:0 (0:0),,Brasil
26 de marzo de 2005,Maracaibo,Venezuela,,0:0,,Colombia
26 de marzo de 2005,Santiago,Chile,,1:1 (0:1),,Uruguay
26 de marzo de 2005,La Paz,Bolivia,,1:2 (0:0),,Argentina
27 de marzo de 2005,Quito,Ecuador,,5:2 (2:2),,Paraguay
27 de marzo de 2005,Goiânia,Brasil,,1:0 (0:0),,Perú
29 de marzo de 2005,La Paz,Bolivia,,3:1 (2:0),,Venezuela
30 de marzo de 2005,Asunción,Paraguay,,2:1 (1:0),,Chile
30 de marzo de 2005,Buenos Aires,Argentina,,1:0 (0:0),,Colombia
30 de marzo de 2005,Lima,Perú,,2:2 (1:2),,Ecuador
30 de marzo de 2005,Montevideo,Uruguay,,1:1 (0:0),,Brasil
4 de junio de 2005,Santiago,Chile,,3:1 (2:0),,Bolivia
4 de junio de 2005,Quito,Ecuador,,2:0 (0:0),,Argentina
4 de junio de 2005,Maracaibo,Venezuela,,1:1 (0:1),,Uruguay
4 de junio de 2005,Barranquilla,Colombia,,5:0 (1:0),,Perú
5 de junio de 2005,Porto Alegre,Brasil,,4:1 (2:0),,Paraguay
7 de junio de 2005,Lima,Perú,,0:0,,Uruguay
8 de junio de 2005,Barranquilla,Colombia,,3:0 (2:0),,Ecuador
8 de junio de 2005,Santiago,Chile,,2:1 (1:0),,Venezuela
8 de junio de 2005,Buenos Aires,Argentina,,3:1 (3:0),,Brasil
8 de junio de 2005,Asunción,Paraguay,,4:1 (2:1),,Bolivia
3 de septiembre de 2005,Asunción,Paraguay,,1:0 (1:0),,Argentina
3 de septiembre de 2005,Maracaibo,Venezuela,,4:1 (1:0),,Perú
3 de septiembre de 2005,La Paz,Bolivia,,1:2 (1:1),,Ecuador
4 de septiembre de 2005,Brasilia,Brasil,,5:0 (4:0),,Chile
4 de septiembre de 2005,Montevideo,Uruguay,,3:2 (1:0),,Colombia
8 de octubre de 2005,Quito,Ecuador,,0:0,,Uruguay
8 de octubre de 2005,Maracaibo,Venezuela,,0:1 (0:0),,Paraguay
8 de octubre de 2005,Barranquilla,Colombia,,1:1 (1:0),,Chile
9 de octubre de 2005,La Paz,Bolivia,,1:1 (0:1),,Brasil
9 de octubre de 2005,Buenos Aires,Argentina,,2:0 (0:0),,Perú
12 de octubre de 2005,Montevideo,Uruguay,,1:0 (0:0),,Argentina
12 de octubre de 2005,Asunción,Paraguay,,0:1 (0:1),,Colombia
12 de octubre de 2005,Santiago,Chile,,0:0,,Ecuador
12 de octubre de 2005,Belém,Brasil,,3:0 (1:0),,Venezuela
12 de octubre de 2005,Tacna,Perú,,4:1 (3:0),,Bolivia
