0,1,2,3,4,5,6
27-2-1977,Ecuador,0-1,Chile,"Modelo, Guayaquil",,
,,,Gamboa 33',Asistencia: 51 200 espectadores Árbitro: Romero,Asistencia: 51 200 espectadores Árbitro: Romero,
,,,,,,
,,,,,,
6-3-1977,Chile,1-1,Perú,"Nacional, Santiago",,
,Ahumada 42',,Muñante 70',Asistencia: 67 983 espectadores Árbitro: Faville Neto,Asistencia: 67 983 espectadores Árbitro: Faville Neto,
,,,,,,
,,,,,,
20-3-1977,Chile,3-0,Ecuador,"Nacional, Santiago",,
,Figueroa 29' 55'  Castro 40',,,Asistencia: 15 571 espectadores Árbitro: Vicente Llobregat,Asistencia: 15 571 espectadores Árbitro: Vicente Llobregat,
,,,,,,
,,,,,,
26-3-1977,Perú,2-0,Chile,"Nacional, Lima",,
,Sotil 49'  Oblitas 54',,,Asistencia: 62 000 espectadores Árbitro: Coelho,Asistencia: 62 000 espectadores Árbitro: Coelho,
,,,,,,
,,,,,,
