Fecha,Ciudad,Unnamed: 2,Unnamed: 3,Resultado,Unnamed: 5,Unnamed: 6
13 de octubre de 2007,Montevideo,Uruguay,,5:0 (2:0) Archivado el 30 de septiembre de 2009 en Wayback Machine.,,Bolivia
13 de octubre de 2007,Buenos Aires,Argentina,,2:0 (1:0) Archivado el 29 de septiembre de 2009 en Wayback Machine.,,Chile
13 de octubre de 2007,Quito,Ecuador,,0:1 (0:0) Archivado el 17 de septiembre de 2009 en Wayback Machine.,,Venezuela
13 de octubre de 2007,Lima,Perú,,0:0 Archivado el 17 de septiembre de 2009 en Wayback Machine.,,Paraguay
14 de octubre de 2007,Bogotá,Colombia,,0:0 Archivado el 16 de septiembre de 2009 en Wayback Machine.,,Brasil
16 de octubre de 2007,Maracaibo,Venezuela,,0:2 (0:2) Archivado el 21 de septiembre de 2009 en Wayback Machine.,,Argentina
17 de octubre de 2007,La Paz,Bolivia,,0:0 Archivado el 12 de septiembre de 2009 en Wayback Machine.,,Colombia
17 de octubre de 2007,Asunción,Paraguay,,1:0 (1:0) Archivado el 27 de octubre de 2009 en Wayback Machine.,,Uruguay
17 de octubre de 2007,Santiago,Chile,,2:0 (1:0) Archivado el 14 de septiembre de 2009 en Wayback Machine.,,Perú
17 de octubre de 2007,Río de Janeiro,Brasil,,5:0 (1:0) Archivado el 18 de septiembre de 2009 en Wayback Machine.,,Ecuador
17 de noviembre de 2007,Buenos Aires,Argentina,,3:0 (1:0) Archivado el 19 de septiembre de 2009 en Wayback Machine.,,Bolivia
17 de noviembre de 2007,Bogotá,Colombia,,1:0 (0:0) Archivado el 4 de abril de 2009 en Wayback Machine.,,Venezuela
17 de noviembre de 2007,Asunción,Paraguay,,5:1 (2:0) Archivado el 30 de marzo de 2009 en Wayback Machine.,,Ecuador
18 de noviembre de 2007,Montevideo,Uruguay,,2:2 (1:0) Archivado el 14 de septiembre de 2009 en Wayback Machine.,,Chile
18 de noviembre de 2007,Lima,Perú,,1:1 (0:1) Archivado el 5 de octubre de 2009 en Wayback Machine.,,Brasil
21 de noviembre de 2007,San Cristóbal,Venezuela,,5:3 (2:2) Archivado el 5 de octubre de 2009 en Wayback Machine.,,Bolivia
21 de noviembre de 2007,Bogotá,Colombia,,2:1 (0:1) Archivado el 9 de abril de 2009 en Wayback Machine.,,Argentina
21 de noviembre de 2007,Quito,Ecuador,,5:1 (3:0) Archivado el 17 de septiembre de 2009 en Wayback Machine.,,Perú
21 de noviembre de 2007,São Paulo,Brasil,,2:1 (1:1) Archivado el 29 de octubre de 2009 en Wayback Machine.,,Uruguay
21 de noviembre de 2007,Santiago,Chile,,0:3 (0:2) Archivado el 17 de septiembre de 2009 en Wayback Machine.,,Paraguay
