0,1,2,3,4,5,6
29-4-1973,Perú,2-0,Chile,"Nacional, Lima",,
,Sotil 43' 62',,,Asistencia: 44 438 espectadores Árbitro: Armando Marques,Asistencia: 44 438 espectadores Árbitro: Armando Marques,
,,,,,,
,,,,,,
13-5-1973,Chile,2-0,Perú,"Nacional, Santiago",,
,Crisosto 68'  Ahumada 71',,,Asistencia: 69 881 espectadores Árbitro: Barreto Ruiz,Asistencia: 69 881 espectadores Árbitro: Barreto Ruiz,
,,,,,,
,,,,,,
5 de agosto de 1973,Chile,2-1 (1-1),Perú,"Estadio Centenario, Montevideo",,
,Valdés 45' Farías 57',,Bailetti 39',Asistencia: 57 993 espectadores Árbitro: Da Rosa,Asistencia: 57 993 espectadores Árbitro: Da Rosa,
,,,,,,
,,,,,,
