0,1,2,3,4,5,6
13-7-1969,Chile,0-0,Uruguay,"Nacional, Santiago de Chile",,
,,,Diaz 1-90',Asistencia: 68 882 espectadores Árbitro: [[Archivo:{{{bandera alias-alt}}}|20x20px|border|Bandera de Uruguay]] Bossolino,Asistencia: 68 882 espectadores Árbitro: [[Archivo:{{{bandera alias-alt}}}|20x20px|border|Bandera de Uruguay]] Bossolino,
,,,,,,
,,,,,,
27-7-1969,Chile,4-1,Ecuador,"Nacional, Santiago de Chile",,
,Olivares 55'  Valdés 62' 86'  Tobar 79' (a.g.),,Lasso 89',Asistencia: 68 857 espectadores Árbitro: Ramírez,Asistencia: 68 857 espectadores Árbitro: Ramírez,
,,,,,,
,,,,,,
3-8-1969,Ecuador,1-1,Chile,"Modelo, Guayaquil",,
,Rodríguez 16',,Olivares 58',Asistencia: 11 545 espectadores Árbitro: Angeles,Asistencia: 11 545 espectadores Árbitro: Angeles,
,,,,,,
,,,,,,
10-8-1969,Uruguay,2-0,Chile,"Centenario, Montevideo",,
,Cortés 44' Rocha 90',,,Asistencia: 68 693 espectadores Árbitro: Armando Marques,Asistencia: 68 693 espectadores Árbitro: Armando Marques,
,,,,,,
,,,,,,
